m4l_gev,channel,m_z1_gev,m_z2_gev,source_record,run,luminosityBlock,event
116.519,4mu,92.063,17.235,30522,279766,616,1147711338
116.710,4e,88.276,15.243,30554,281797,1460,2475018176
118.611,4e,59.227,40.578,30521,279694,7,11968298
119.450,4mu,56.076,17.213,30555,283830,23,43219961
120.145,2e2mu,93.183,15.545,30554,283820,187,313336689
120.234,4mu,86.802,24.042,30522,280249,136,258406656
120.712,2e2mu,85.900,13.998,30521,279588,759,1294103090
121.962,4mu,88.344,33.509,30522,278820,1465,2663714224
121.984,4e,85.749,25.572,30521,279841,1891,3282231397
122.687,4mu,91.235,28.678,30555,281797,1514,2571021056
122.800,2e2mu,60.595,28.678,30521,278923,147,203074351
123.291,4e,84.465,26.370,30521,280249,581,1092809122
123.708,2e2mu,80.877,29.555,30521,279667,78,34785118
123.953,4mu,90.288,22.099,30555,283885,1688,2947488730
123.960,4mu,88.754,30.710,30555,283307,108,199438691
124.038,4mu,71.139,50.518,30522,279931,3019,5123592417
124.151,2e2mu,90.004,19.622,30554,283964,76,129762939
124.272,2e2mu,86.238,25.091,30554,283408,468,769373142
124.322,2e2mu,79.484,27.772,30521,279931,1064,1826222506
124.486,4mu,71.589,50.490,30522,279841,1177,2029486783
124.637,4mu,92.227,31.641,30555,282037,173,328600245
124.879,4mu,90.553,25.308,30522,278969,679,1108529870
124.988,4mu,85.614,39.237,30555,283270,1703,2920076999
125.219,2e2mu,90.356,19.218,30521,280249,1357,2395659661
125.221,4mu,90.972,23.362,30522,280330,355,678125664
125.495,4e,93.468,27.565,30521,278820,608,1108631891
125.720,4mu,70.389,44.386,30555,283478,436,615190126
125.793,2e2mu,90.762,34.159,30555,283043,70,117883491
125.851,4mu,91.595,16.943,30555,281641,17,24484383
125.975,4mu,97.097,21.453,30555,283307,146,266738670
125.975,4e,93.183,22.542,30521,278820,165,286717419
125.978,4mu,83.907,27.444,30555,283059,147,272021935
126.057,2e2mu,89.549,32.544,30554,283306,214,388471539
126.403,4mu,65.880,54.283,30555,283548,231,182888890
126.463,4mu,64.309,38.696,30555,283820,228,386494896
127.098,2e2mu,81.782,38.163,30555,283865,492,844415203
127.718,2e2mu,85.302,17.778,30554,283307,146,267209414
128.424,4e,77.875,35.665,30554,283946,1275,2137919142
129.057,4mu,87.582,12.504,30555,283270,1909,3241584481
129.384,4mu,94.571,14.845,30522,279716,865,1583688526
129.940,2e2mu,91.126,27.016,30554,282092,364,474634113
131.549,4mu,94.487,12.933,30555,283865,676,1186362046
131.856,4mu,94.838,35.121,30555,283820,215,362578828
