m4l_gev,channel,m_z1_gev,m_z2_gev,source_record,run,luminosityBlock,event
115.028,2e2mu,80.830,25.115,30521,278820,467,841815616
115.056,4mu,60.466,47.580,30555,282807,124,248014845
115.064,4mu,87.681,15.105,30555,283408,601,993092801
115.108,4mu,98.290,12.622,30555,281726,152,287735417
115.150,4mu,86.714,24.722,30522,279966,104,82816369
115.172,4mu,59.347,21.331,30555,283933,159,152051069
115.189,4mu,83.019,17.851,30555,283876,476,723891792
115.213,2e2mu,91.974,19.740,30555,281707,732,1136907371
115.218,4mu,89.600,18.949,30555,283408,262,436216815
115.263,4mu,92.202,17.826,30555,282037,574,1041353621
115.267,4mu,62.445,43.451,30522,280018,988,1706189471
115.400,2e2mu,86.227,25.187,30521,279715,172,195919718
115.589,2e2mu,94.767,16.706,30554,283964,60,101725522
115.719,2e2mu,91.913,16.398,30521,279654,1270,2378415005
115.726,2e2mu,91.601,15.806,30554,283408,181,297220197
115.809,2e2mu,90.796,12.982,30521,278969,495,785711975
115.831,4mu,74.524,31.447,30522,280349,136,251052843
115.994,4e,75.460,21.458,30521,279931,336,482740124
116.016,2e2mu,88.520,14.466,30554,284035,341,586155643
116.019,4mu,92.015,16.170,30555,283283,435,884237114
116.037,4mu,71.012,20.741,30522,280349,301,577986613
116.045,4mu,88.965,21.701,30555,282919,10,20391887
116.133,4mu,88.368,13.400,30555,281693,384,724260136
116.312,2e2mu,87.664,15.225,30555,283820,874,1547109158
116.412,4mu,92.829,22.393,30522,280242,420,764424364
116.433,4mu,72.279,40.987,30555,281693,1129,2148003263
116.434,2e2mu,94.402,12.995,30554,282037,168,321130655
116.438,4mu,88.420,12.745,30522,280385,627,1160003036
116.441,4mu,87.146,19.276,30555,283306,43,80031022
116.487,4mu,94.175,20.639,30555,282037,699,1263275712
116.519,4mu,92.063,17.235,30522,279766,616,1147711338
116.590,4mu,65.651,25.056,30522,280330,435,820988726
116.705,2e2mu,94.376,17.673,30554,283353,218,278615860
116.710,4e,88.276,15.243,30554,281797,1460,2475018176
116.723,4mu,80.554,18.991,30555,281639,111,179091781
116.730,2e2mu,91.106,18.602,30521,280349,45,84535563
116.850,2e2mu,90.770,20.247,30554,282814,934,1742846280
