bin_low_GeV,bin_high_GeV,count,count_raw_before_rounding,deviation_from_integer,source
100.0,102.0,3735,3735.396,0.396,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
102.0,104.0,3501,3500.603,0.397,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
104.0,106.0,3444,3444.078,0.078,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
106.0,108.0,3253,3252.765,0.235,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
108.0,110.0,3088,3087.540,0.460,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
110.0,112.0,2922,2922.314,0.314,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
112.0,114.0,2822,2822.310,0.310,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
114.0,116.0,2709,2709.261,0.261,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
116.0,118.0,2553,2552.732,0.268,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
118.0,120.0,2357,2357.070,0.070,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
120.0,122.0,2301,2300.546,0.454,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
122.0,124.0,2274,2274.458,0.458,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
124.0,126.0,2214,2213.585,0.415,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
126.0,128.0,2157,2157.061,0.061,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
128.0,130.0,1979,1978.792,0.208,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
130.0,132.0,1887,1887.483,0.483,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
132.0,134.0,1770,1770.086,0.086,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
134.0,136.0,1701,1700.518,0.482,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
136.0,138.0,1596,1596.165,0.165,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
138.0,140.0,1492,1491.812,0.188,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
140.0,142.0,1487,1487.464,0.464,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
142.0,144.0,1357,1357.023,0.023,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
144.0,146.0,1370,1370.067,0.067,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
146.0,148.0,1257,1257.018,0.018,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
148.0,150.0,1235,1235.278,0.278,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
150.0,152.0,1214,1213.538,0.462,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
152.0,154.0,1057,1057.009,0.009,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
154.0,156.0,1087,1087.445,0.445,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
156.0,158.0,1114,1113.533,0.467,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
158.0,160.0,1027,1026.573,0.427,"vector extraction of mggweighted_panel_nonorm.eps (ATLAS arXiv:1207.7214 e-print), top (unweighted) panel"
