mass_GeV_bin_center,x_pdf,y_pdf
101.036,201.152,140.220
102.920,208.462,148.317
104.992,216.503,150.245
106.970,224.179,156.415
108.948,231.855,162.584
110.926,239.530,167.982
112.998,247.572,171.453
114.976,255.247,175.309
116.954,262.923,180.707
118.932,270.599,187.262
121.005,278.640,189.575
122.983,286.316,190.347
124.961,293.992,192.274
126.939,301.668,194.588
128.917,309.343,200.372
130.989,317.385,203.457
132.967,325.060,207.698
134.945,332.736,210.012
136.923,340.412,213.482
138.995,348.453,217.338
140.973,356.129,217.338
142.951,363.805,221.965
145.024,371.846,221.194
147.002,379.522,225.435
148.980,387.198,225.821
150.958,394.873,226.978
153.030,402.915,231.990
155.008,410.591,231.219
