mass_GeV,z_lr,visible_in_rendered_figure
101.036,-0.3542,yes
102.920,-0.2948,yes
104.992,0.4202,yes
106.970,0.6032,yes
108.948,0.1429,yes
110.926,0.0378,yes
112.998,0.4875,yes
114.976,0.5644,yes
116.954,-0.3195,yes
118.932,-1.0699,yes
121.005,-0.1067,yes
122.983,2.0581,yes
124.961,3.8355,yes
126.939,4.1982,yes
128.917,3.2976,yes
130.989,2.2479,yes
132.967,1.4609,yes
134.945,0.8485,yes
136.923,0.0955,yes
138.995,-0.2949,yes
140.973,-0.1553,yes
142.951,-0.0484,yes
145.024,0.2176,yes
147.002,0.1726,yes
148.980,0.2617,yes
150.958,-0.3115,yes
153.030,-1.3218,yes
155.008,-0.5626,yes
156.986,0.6241,no
158.964,0.5510,no
