"recid","title","type_primary","type_secondary","formats","number_files","number_events","size_bytes","run_period","doi","usability_note"
"14017","/AllPhysics2760/Nov2011_HI-SD_JetHI-276TeV_ppRereco/RECO","Dataset","Collision","root;reco","67","2375982","275113247233","Run2011A","10.7483/OPENDATA.PBQN.WK8M","DIRECTLY_USABLE_OR_WORK"
"14018","/AllPhysics2760/Nov2011_HI-SD_MuHI-276TeV_ppRereco/RECO","Dataset","Collision","root;reco","170","6615466","682687665680","Run2011A","10.7483/OPENDATA.9NKF.Q7EM","DIRECTLY_USABLE_OR_WORK"
"14019","/AllPhysics2760/Nov2011_HI-SD_PhotonHI-276TeV_ppRereco/RECO","Dataset","Collision","root;reco","77","3579356","315011898981","Run2011A","10.7483/OPENDATA.91DO.0DEV","DIRECTLY_USABLE_OR_WORK"
"14016","/AllPhysics2760/Run2011A-16Jul2011-v1/RECO","Dataset","Collision","root;reco","1491","56168211","6570934150548","Run2011A","10.7483/OPENDATA.V439.NXZC","DIRECTLY_USABLE_OR_WORK"
"6000","/BJetPlusX/Run2012B-22Jan2013-v1/AOD","Dataset","Collision","aod;root","2289","27868808","8946723460248","Run2012B","10.7483/OPENDATA.CMS.SNNP.RGI6","DIRECTLY_USABLE_OR_WORK"
"6026","/BJetPlusX/Run2012C-22Jan2013-v1/AOD","Dataset","Collision","aod;root","3091","36498856","11736390838912","Run2012C","10.7483/OPENDATA.CMS.QGLB.GWGH","DIRECTLY_USABLE_OR_WORK"
"24442","/BJetPlusX/Run2012D-22Jan2013-v1/AOD","Dataset","Collision","aod;root","3943","40926332","14228114788654","Run2012D","10.7483/OPENDATA.CMS.N7ZP.HQ58","DIRECTLY_USABLE_OR_WORK"
"15","/BTag/Run2011A-12Oct2013-v1/AOD","Dataset","Collision","root;aod","489","11759539","1838495301652","Run2011A","10.7483/OPENDATA.CMS.N372.QF6S","DIRECTLY_USABLE_OR_WORK"
"270","/BTag/Run2011B-12Oct2013-v1/AOD","Dataset","Collision","aod;root","185","2927141","649519003919","Run2011B","10.7483/OPENDATA.CMS.NBJE.C4YJ","DIRECTLY_USABLE_OR_WORK"
"24400","/BTag/Run2012A-22Jan2013-v1/AOD","Dataset","Collision","aod;root","171","2251512","631411327834","Run2012A","10.7483/OPENDATA.CMS.8LQA.CPH8","DIRECTLY_USABLE_OR_WORK"
"6001","/BTag/Run2012B-22Jan2013-v1/AOD","Dataset","Collision","aod;root","586","7613392","2243622832559","Run2012B","10.7483/OPENDATA.CMS.3YRW.XG5Y","DIRECTLY_USABLE_OR_WORK"
"6027","/BTag/Run2012C-22Jan2013-v1/AOD","Dataset","Collision","aod;root","784","9828650","2977661989859","Run2012C","10.7483/OPENDATA.CMS.DU2C.MF16","DIRECTLY_USABLE_OR_WORK"
"24443","/BTag/Run2012D-22Jan2013-v1/AOD","Dataset","Collision","aod;root","959","11642613","3765307681401","Run2012D","10.7483/OPENDATA.CMS.2NFA.U05T","DIRECTLY_USABLE_OR_WORK"
