=== Events tree: vertex/pileup-related branches ===
GenVtx_x | float | 'gen vertex x'
GenVtx_y | float | 'gen vertex y'
GenVtx_z | float | 'gen vertex z'
LowPtElectron_convVtxRadius | float[] | 'conversion vertex radius (cm)'
Pileup_nTrueInt | float | 'the true mean number of the poisson distribution for this event from which the number of interactions each bunch crossing has been sampled'
Pileup_pudensity | float | 'PU vertices / mm'
Pileup_gpudensity | float | 'Generator-level PU vertices / mm'
Pileup_nPU | int32_t | 'the number of pileup interactions that have been added to the event in the current bunch crossing'
Pileup_sumEOOT | int32_t | 'number of early out of time pileup'
Pileup_sumLOOT | int32_t | 'number of late out of time pileup'
PV_ndof | float | 'main primary vertex number of degree of freedom'
PV_x | float | 'main primary vertex position x coordinate'
PV_y | float | 'main primary vertex position y coordinate'
PV_z | float | 'main primary vertex position z coordinate'
PV_chi2 | float | 'main primary vertex reduced chi2'
PV_score | float | 'main primary vertex score, i.e. sum pt2 of clustered objects'
PV_npvs | int32_t | 'total number of reconstructed primary vertices'
PV_npvsGood | int32_t | 'number of good reconstructed primary vertices. selection:!isFake && ndof > 4 && abs(z) <= 24 && position.Rho <= 2'
GenVtx_t0 | float | 'gen vertex t0'
HLT_DoubleMu33NoFiltersNoVtx | bool | 'Trigger/flag bit (process: HLT)'
HLT_DoubleMu38NoFiltersNoVtx | bool | 'Trigger/flag bit (process: HLT)'
HLT_DoubleMu23NoFiltersNoVtxDisplaced | bool | 'Trigger/flag bit (process: HLT)'
HLT_DoubleMu28NoFiltersNoVtxDisplaced | bool | 'Trigger/flag bit (process: HLT)'
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing | bool | 'Trigger/flag bit (process: HLT)'
HLT_Dimuon0er16_Jpsi_NoVertexing | bool | 'Trigger/flag bit (process: HLT)'
HLT_Dimuon6_Jpsi_NoVertexing | bool | 'Trigger/flag bit (process: HLT)'
HLT_L2DoubleMu23_NoVertex | bool | 'Trigger/flag bit (process: HLT)'
HLT_L2DoubleMu28_NoVertex_2Cha_Angle2p5_Mass10 | bool | 'Trigger/flag bit (process: HLT)'
HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_Mass10 | bool | 'Trigger/flag bit (process: HLT)'
HLT_L2Mu10_NoVertex_NoBPTX3BX | bool | 'Trigger/flag bit (process: HLT)'
HLT_L2Mu10_NoVertex_NoBPTX | bool | 'Trigger/flag bit (process: HLT)'
HLT_L2Mu45_NoVertex_3Sta_NoBPTX3BX | bool | 'Trigger/flag bit (process: HLT)'
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu38NoFiltersNoVtx_Photon38_CaloIdL | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu33NoFiltersNoVtxDisplaced_Photon33_CaloIdL | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu23NoFiltersNoVtx_Photon23_CaloIdL | bool | 'Trigger/flag bit (process: HLT)'
HLT_DoubleMu18NoFiltersNoVtx | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose | bool | 'Trigger/flag bit (process: HLT)'
HLT_Mu28NoFiltersNoVtx_CentralCaloJet40 | bool | 'Trigger/flag bit (process: HLT)'
HLT_TrkMu15_DoubleTrkMu5NoFiltersNoVtx | bool | 'Trigger/flag bit (process: HLT)'
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx | bool | 'Trigger/flag bit (process: HLT)'

=== Runs tree: all branches (gen-weight-sum bookkeeping) ===
run | uint32_t | 'run/i'
genEventCount | int64_t | 'event count'
genEventSumw | double | 'sum of gen weights'
genEventSumw2 | double | 'sum of gen (weight^2)'
nLHEScaleSumw | uint32_t | 'Number of entries in LHEScaleSumw'
LHEScaleSumw | double[] | 'Sum of genEventWeight * LHEScaleWeight[i], divided by genEventSumw'
nLHEPdfSumw | uint32_t | 'Number of entries in LHEPdfSumw'
LHEPdfSumw | double[] | 'Sum of genEventWeight * LHEPdfWeight[i], divided by genEventSumw'
