era,run,n_certified_sections_this_run,n_missing_sections,run_recorded_lumi_fb,estimated_missing_lumi_fb
Run2016G,278820,1524,7,0.289436862,0.001329434405511811
Run2016G,278873,67,7,0.002032904,0.00021239295522388057
Run2016G,278874,484,7,0.082659432,0.0011954876528925621
Run2016G,278875,834,1,0.116011101,0.00013910203956834532
Run2016G,278962,351,10,0.076813045,0.0021884058404558404
Run2016G,278969,1394,8,0.285918226,0.0016408506513629843
Run2016G,278975,857,9,0.121101529,0.0012717780175029172
Run2016G,279653,188,7,0.043879144,0.001633797914893617
Run2016G,279654,1253,8,0.242855226,0.001550552121308859
Run2016G,279656,49,6,0.005736806,0.0007024660408163265
Run2016G,279658,713,1,0.09422731,0.00013215611500701262
Run2016G,279681,35,7,0.006746151,0.0013492302
Run2016G,279682,47,14,0.007864511,0.00234262029787234
Run2016G,279683,34,8,0.00643436,0.0015139670588235293
Run2016G,279684,34,12,0.005362302,0.0018925771764705885
Run2016G,279691,54,11,0.009765373,0.001989242648148148
Run2016G,279760,664,9,0.155199085,0.0021036020557228916
Run2016G,279766,1694,5,0.270889647,0.0007995562190082645
Run2016G,279844,233,9,0.057240986,0.0022110252103004296
Run2016G,279887,319,3,0.074126575,0.0006971151253918496
Run2016G,279931,2936,2,0.47995045,0.0003269417234332425
Run2016G,279993,79,7,0.018287474,0.0016204090886075952
Run2016G,279994,59,12,0.012524966,0.002547450711864407
Run2016G,280013,34,9,0.005697175,0.0015080757352941175
Run2016G,280015,576,4,0.116388172,0.0008082511944444443
Run2016G,280016,163,14,0.026838406,0.002305139165644172
Run2016G,280017,613,5,0.098921384,0.0008068628384991842
Run2016G,280018,1282,1,0.160429977,0.00012514038767550702
Run2016G,280020,47,2,0.004651996,0.0001979572765957447
Run2016G,280187,67,11,0.013371081,0.002195252104477612
Run2016G,280188,253,8,0.06226221,0.0019687655335968376
Run2016G,280191,908,11,0.180805055,0.002190369609030837
Run2016G,280242,637,12,0.149332061,0.002813162844583987
Run2016G,280249,1437,5,0.241480183,0.00084022332289492
Run2016G,280327,50,13,0.008819257,0.0022930068200000004
Run2016G,280330,870,13,0.187767451,0.002805720532183908
Run2016G,280349,635,16,0.105115956,0.0026485910173228346
Run2016G,280363,367,8,0.050468859,0.0011001386158038147
Run2016G,280364,1351,2,0.15660551,0.0002318364322723908
Run2016G,280383,10,8,0.000250886,0.00020070880000000002
Run2016G,280384,47,13,0.007897894,0.002184523872340426
Run2016G,280385,2019,7,0.368580819,0.00127789288410104
Run2016H,281613,803,12,0.009854551,0.00014726601743462016
Run2016H,281639,136,4,0.019206349,0.0005648926176470588
Run2016H,281707,953,3,0.216904519,0.0006828054113326337
Run2016H,281726,291,3,0.049834009,0.0005137526701030927
Run2016H,282033,43,7,0.008351862,0.0013596054418604652
Run2016H,282034,35,2,0.008733301,0.0004990457714285715
Run2016H,282035,47,7,0.009514642,0.0014170743404255319
Run2016H,282710,9,6,0.000350704,0.00023380266666666666
Run2016H,282730,83,7,0.020631795,0.0017400309036144578
Run2016H,282731,176,4,0.048048286,0.0010920065000000001
Run2016H,282732,73,4,0.018281462,0.0010017239452054794
Run2016H,282733,178,1,0.043632314,0.0002451253595505618
Run2016H,282734,330,3,0.071211184,0.0006473744
Run2016H,282735,1823,4,0.272048477,0.0005969247986834888
Run2016H,282800,382,5,0.094644857,0.0012388070287958114
Run2016H,282807,330,4,0.07132182,0.000864506909090909
Run2016H,282917,85,11,0.018175426,0.002352113952941177
Run2016H,282918,59,8,0.013025009,0.0017661029152542373
Run2016H,282922,137,6,0.025785002,0.0011292701605839417
Run2016H,282923,226,8,0.040888008,0.001447363115044248
Run2016H,283042,10,4,0.001435533,0.0005742132
Run2016H,283043,519,2,0.117972506,0.0004546146666666667
Run2016H,283049,17,5,0.003171817,0.0009328873529411765
Run2016H,283050,227,15,0.058639575,0.003874861784140969
Run2016H,283052,124,13,0.029110576,0.0030519152258064518
Run2016H,283059,458,9,0.099841264,0.0019619462358078602
Run2016H,283270,1838,5,0.38552121,0.0010487519314472252
Run2016H,283283,1748,4,0.199136156,0.0004556891441647597
Run2016H,283305,15,8,0.001407942,0.0007509023999999999
Run2016H,283306,291,2,0.077780643,0.0005345748659793814
Run2016H,283307,461,7,0.101384034,0.0015394538785249456
Run2016H,283308,946,1,0.161919434,0.00017116219238900635
Run2016H,283353,753,10,0.193296966,0.002567024780876494
Run2016H,283358,985,5,0.173997642,0.0008832367614213198
Run2016H,283407,43,10,0.009938879,0.0023113672093023254
Run2016H,283408,2355,11,0.461816465,0.002157104507430998
Run2016H,283416,197,2,0.022044105,0.00022379802030456853
Run2016H,283478,878,4,0.212593955,0.0009685373804100227
Run2016H,283548,148,4,0.026583803,0.0007184811621621622
Run2016H,283680,87,5,0.019145319,0.0011003056896551724
Run2016H,283681,23,5,0.003854775,0.0008379945652173912
Run2016H,283682,389,5,0.080903225,0.001039887210796915
Run2016H,283820,1486,4,0.261598727,0.0007041688479138626
Run2016H,283830,729,7,0.103188837,0.0009908393127572017
Run2016H,283834,85,4,0.009088268,0.0004276832
Run2016H,283835,112,1,0.01141036,0.00010187821428571427
Run2016H,283876,672,15,0.165629295,0.0036970824776785716
Run2016H,283884,408,4,0.103096196,0.0010107470196078431
Run2016H,283933,153,8,0.040818835,0.0021343181699346406
Run2016H,283946,1378,1,0.303446667,0.00022020803120464442
Run2016H,284006,322,4,0.058267372,0.0007238182857142857
Run2016H,284025,54,6,0.012336624,0.0013707359999999998
Run2016H,284035,369,9,0.088596369,0.0021608870487804877
Run2016H,284036,356,10,0.072473292,0.002035766629213483
Run2016H,284037,343,3,0.06301036,0.0005511110204081633
Run2016H,284038,60,5,0.009192519,0.00076604325
Run2016H,284039,34,4,0.004843458,0.0005698185882352942
Run2016H,284040,35,2,0.005499267,0.0003142438285714286
Run2016H,284041,47,3,0.006876669,0.00043893631914893613
Run2016H,284042,137,8,0.019884807,0.001161156613138686
Run2016H,284043,227,7,0.032003512,0.0009868924405286343
